,image,odometer_type,mileage,width,height,boxes,labels,num_obj
0,00000002-PHOTO-2020-11-20-11-21-22.jpg,analog,244362,768,1024,"[[291, 408, 315, 439], [325, 407, 350, 439], [258, 410, 284, 442], [429, 406, 453, 437], [396, 404, 421, 435], [360, 404, 386, 436]]","[4, 4, 2, 2, 6, 3]",6
1,00000003-PHOTO-2020-11-20-11-21-23.jpg,digital,64750,768,1024,"[[381, 421, 393, 438], [347, 454, 358, 473], [361, 454, 373, 473], [307, 456, 318, 473], [378, 455, 386, 473], [339, 422, 350, 439], [371, 422, 382, 438], [350, 423, 361, 438], [361, 422, 371, 438], [335, 455, 347, 473]]","[0, 2, 2, 3, 1, 6, 5, 4, 7, 2]",10
2,00000004-PHOTO-2020-11-20-11-21-25.jpg,digital,159073,1024,768,"[[603, 404, 629, 446], [590, 406, 600, 445], [706, 458, 738, 506], [673, 462, 704, 506], [626, 460, 657, 507], [727, 402, 752, 445], [697, 402, 722, 442], [689, 346, 717, 393], [634, 403, 660, 444], [663, 403, 691, 444], [660, 347, 688, 394]]","[5, 1, 2, 4, 9, 3, 7, 0, 9, 0, 2]",11
3,00000005-PHOTO-2020-11-20-11-21-26.jpg,analog,18613,576,1024,"[[319, 612, 333, 626], [305, 597, 312, 616], [282, 593, 297, 611], [263, 592, 278, 612], [247, 589, 255, 609], [225, 587, 240, 606]]","[3, 1, 6, 8, 1, 0]",6
4,00000006-PHOTO-2020-11-20-11-21-26.jpg,analog,35376,768,1024,"[[433, 510, 468, 547], [320, 562, 354, 600], [356, 544, 393, 581], [285, 586, 322, 624], [228, 599, 246, 618], [455, 495, 472, 517], [281, 497, 299, 517], [271, 503, 286, 522], [244, 550, 261, 569], [231, 557, 249, 577], [253, 606, 290, 646], [390, 521, 421, 559]]","[6, 5, 3, 3, 0, 7, 0, 4, 0, 3, 0, 7]",12
5,00000007-PHOTO-2020-11-20-11-21-27.jpg,analog,7863,576,1024,"[[288, 401, 310, 427], [188, 426, 209, 454], [212, 421, 233, 449], [173, 408, 183, 423], [236, 413, 256, 441], [261, 408, 283, 434], [316, 397, 334, 422]]","[6, 0, 0, 0, 7, 8, 3]",7
6,00000008-PHOTO-2020-11-20-11-21-28.jpg,digital,64750,576,1024,"[[245, 457, 257, 476], [240, 459, 246, 476], [207, 458, 218, 474], [280, 426, 290, 443], [269, 427, 280, 442], [260, 426, 270, 442], [270, 459, 282, 475], [249, 426, 260, 441], [239, 426, 250, 441], [265, 458, 272, 475]]","[0, 1, 3, 0, 5, 7, 4, 4, 6, 1]",10
7,00000009-PHOTO-2020-11-20-11-21-29.jpg,analog,2183,575,1024,"[[265, 563, 290, 592], [325, 564, 348, 592], [354, 570, 376, 598], [209, 564, 233, 594], [238, 563, 261, 592], [300, 564, 313, 592]]","[2, 8, 3, 0, 0, 2]",6
8,00000010-PHOTO-2020-11-20-11-21-30.jpg,analog,1187,768,1024,"[[119, 560, 146, 595], [153, 559, 181, 593], [194, 561, 207, 595], [230, 558, 241, 593], [256, 558, 284, 592], [291, 571, 313, 603]]","[0, 0, 1, 1, 8, 7]",6
9,00000011-PHOTO-2020-11-20-11-21-30.jpg,digital,189350,1024,768,"[[684, 416, 699, 441], [698, 415, 713, 442], [652, 445, 659, 466], [702, 443, 717, 465], [688, 444, 703, 466], [717, 442, 732, 465], [670, 470, 688, 497], [693, 471, 709, 497], [709, 470, 726, 497], [672, 443, 688, 466], [658, 444, 673, 466]]","[2, 0, 1, 5, 3, 0, 8, 3, 2, 9, 8]",11
10,00000012-PHOTO-2020-11-20-11-21-31.jpg,analog,4909,1200,1600,"[[350, 782, 388, 835], [403, 780, 443, 833], [457, 779, 497, 827], [512, 779, 552, 829], [567, 779, 607, 829], [622, 785, 659, 834]]","[0, 0, 4, 9, 0, 9]",6
11,00000013-PHOTO-2020-11-20-11-21-31.jpg,analog,244483,768,1024,"[[391, 480, 413, 509], [217, 481, 244, 514], [251, 484, 277, 513], [286, 484, 312, 514], [320, 482, 347, 513], [357, 484, 382, 516]]","[3, 2, 4, 4, 4, 8]",6
12,00000014-PHOTO-2020-11-20-11-21-32.jpg,analog,479137,576,1024,"[[300, 539, 317, 562], [196, 514, 217, 541], [221, 521, 243, 548], [254, 525, 263, 551], [273, 526, 295, 553], [167, 517, 190, 545]]","[4, 7, 9, 1, 3, 4]",6
