,image,odometer_type,mileage,width,height,class,xmin,ymin,xmax,ymax
0,00000002-PHOTO-2020-11-20-11-21-22.jpg,0,244362,768,1024,odometer,249.0,399.21,452.9,456.74
1,00000003-PHOTO-2020-11-20-11-21-23.jpg,1,64750,768,1024,odometer,300.0,413.31,420.6,485.75
2,00000004-PHOTO-2020-11-20-11-21-25.jpg,1,159073,1024,768,odometer,461.27,324.0,931.55,532.14
3,00000005-PHOTO-2020-11-20-11-21-26.jpg,0,18613,576,1024,odometer,216.78,582.97,333.7,626.14
4,00000006-PHOTO-2020-11-20-11-21-26.jpg,0,35376,768,1024,odometer,230.34,504.17,474.49,671.03
5,00000007-PHOTO-2020-11-20-11-21-27.jpg,0,7863,576,1024,odometer,171.15,393.51,336.25,458.5
6,00000008-PHOTO-2020-11-20-11-21-28.jpg,1,64750,576,1024,odometer,200.15,417.78,317.81,487.4
7,00000009-PHOTO-2020-11-20-11-21-29.jpg,0,2183,575,1024,odometer,206.05,561.19,376.96,601.1
8,00000010-PHOTO-2020-11-20-11-21-30.jpg,0,1187,768,1024,odometer,104.72,556.52,312.02,603.37
9,00000011-PHOTO-2020-11-20-11-21-30.jpg,1,189350,1024,768,odometer,591.45,406.18,815.33,505.87
10,00000012-PHOTO-2020-11-20-11-21-31.jpg,0,4909,1200,1600,odometer,326.91,771.24,664.48,850.82
11,00000013-PHOTO-2020-11-20-11-21-31.jpg,0,244483,768,1024,odometer,212.83,480.37,413.34,530.59
12,00000014-PHOTO-2020-11-20-11-21-32.jpg,0,479137,576,1024,odometer,165.72,513.26,321.82,560.24
13,00000015-PHOTO-2020-11-20-11-21-33.jpg,1,148380,472,1024,odometer,144.7,433.03,309.6,504.97
14,00000016-PHOTO-2020-11-20-11-22-54.jpg,0,52672,1024,1024,odometer,212.43,309.21,488.36,391.76
15,00000017-PHOTO-2020-11-20-11-22-54.jpg,1,118316,576,1024,odometer,137.8,377.71,322.2,490.12
16,00000018-PHOTO-2020-11-20-11-22-54.jpg,1,115266,576,1024,odometer,148.32,520.0,434.6,649.95
17,00000019-PHOTO-2020-11-20-11-22-54.jpg,0,3782,768,1024,odometer,234.26,585.89,404.14,640.55
18,00000020-PHOTO-2020-11-20-11-23-18.jpg,1,116950,900,1600,odometer,386.17,755.07,539.79,845.99
19,00000021-PHOTO-2020-11-20-11-24-23.jpg,0,4909,1200,1600,odometer,324.17,771.24,669.97,850.82
20,00000022-PHOTO-2020-11-20-12-56-34.jpg,1,30721,1201,1600,odometer,20.4,86.5,1139.5,1222.7
21,00000023-PHOTO-2020-11-20-15-22-22.jpg,1,26174,1600,721,odometer,760.75,371.52,899.2,439.03
22,00000024-PHOTO-2020-11-20-15-22-40.jpg,1,26188,1600,720,odometer,763.88,419.4,1017.04,533.35
23,00000025-PHOTO-2020-11-20-19-42-58.jpg,1,115310,1197,1600,odometer,415.83,952.37,1041.84,1243.28
24,00000026-PHOTO-2020-11-20-20-21-52.jpg,1,315529,1200,1600,odometer,480.96,822.61,640.7,919.02
25,00000027-PHOTO-2020-11-20-20-21-52.jpg,1,127.8,1200,1600,odometer,300.53,790.87,479.09,902.99
26,00000028-PHOTO-2020-11-20-20-21-52.jpg,1,216894,788,1599,odometer,338.9,731.17,484.61,804.02
27,00000029-PHOTO-2020-11-20-20-21-52.jpg,1,175.6,1536,864,odometer,681.85,439.31,1053.55,687.0
28,00000030-PHOTO-2020-11-20-20-21-52.jpg,1,184440,1536,864,odometer,677.19,519.73,1034.25,756.16
29,00000031-PHOTO-2020-11-20-20-22-09.jpg,0,8324,768,1024,odometer,196.57,508.12,418.43,677.68
